timestamp,timestamp_unix,latitude,longitude,altitude,speed,horizontal_accuracy,is_outlier
2026-05-04T08:10:00.000Z,1746328200,37.7753,-122.4189,12.0,0.0,5.0,false
2026-05-04T08:11:00.000Z,1746328260,37.7751,-122.4190,12.0,1.2,5.0,false
2026-05-04T08:12:00.000Z,1746328320,37.7749,-122.4192,12.0,0.8,8.0,false
2026-05-04T09:50:00.000Z,1746334200,37.7750,-122.4188,12.0,1.5,5.0,false
2026-05-04T09:52:00.000Z,1746334320,37.7758,-122.4166,14.0,2.1,6.0,false
2026-05-04T09:54:00.000Z,1746334440,37.7769,-122.4139,15.0,2.3,5.0,false
2026-05-04T09:56:00.000Z,1746334560,37.7785,-122.4108,18.0,2.0,8.0,false
2026-05-04T09:58:00.000Z,1746334680,37.7802,-122.4078,20.0,2.1,5.0,false
2026-05-04T10:00:00.000Z,1746334800,37.7820,-122.4051,22.0,1.9,6.0,false
2026-05-04T10:02:00.000Z,1746334920,37.7838,-122.4035,24.0,1.8,5.0,false
2026-05-04T10:05:00.000Z,1746335100,37.7857,-122.4011,26.0,0.5,5.0,false
2026-05-04T17:35:00.000Z,1746362100,37.7848,-122.4028,24.0,1.6,5.0,false
2026-05-04T17:38:00.000Z,1746362280,37.7825,-122.4060,20.0,2.0,6.0,false
2026-05-04T17:41:00.000Z,1746362460,37.7800,-122.4091,18.0,2.2,5.0,false
2026-05-04T17:44:00.000Z,1746362640,37.7768,-122.4135,15.0,2.4,5.0,false
2026-05-04T17:47:00.000Z,1746362820,37.7735,-122.4182,13.0,2.1,8.0,false
2026-05-04T17:50:00.000Z,1746363000,37.7698,-122.4235,10.0,2.2,5.0,false
2026-05-04T18:05:00.000Z,1746363900,37.7671,-122.4294,8.0,0.2,5.0,false
2026-05-04T19:36:00.000Z,1746369360,37.7694,-122.4278,8.0,1.3,5.0,false
2026-05-04T14:22:00.000Z,1746350520,47.6062,-122.3321,500.0,340.0,1500.0,true
